O,P
,
,
,
,0.0
,
,1.0
1.0,
,
,
,
,
,0.0
,
,
,
,
,
,
,0.0
,0.0
,
1.0,
,
,
,
,
,
,
,0.0
,1.0
,
,
,
,0.0
,0.0
,0.0
,
1.0,
1.0,
,
,
,
,
,
7.0,
,0.0
,
3.0,
,0.0
,
,0.0
2.0,
,
,
,
,
,
,
3.0,1.0
,
,
,
,
,0.0
3.0,
,
,
,0.0
,
,
,
2.0,
,
,
,
,
,
,
,
,1.0
,
,
,
,1.0
3.0,0.0
3.0,
,
,
,
,0.0
,
5.0,0.0
,0.0
,
,
,0.0
,1.0
,
,
,
,
,
,
,
,
,
2.0,
,0.0
6.0,
,
,
,1.0
,
5.0,
,
,
,0.0
,
,
1.0,0.0
4.0,
,
,
,
1.0,0.0
44.0,1.0
,
,
4.0,
,
,
,0.0
,
1.0,0.0
10.0,
,
,
,
,
,
,
,
13.0,
,0.0
,
,
,
,
,
4.0,
,
,
,
,0.0
,
,
,
5.0,
,
,0.0
,0.0
,
,
,
,
1.0,
,
3.0,
,
,
,
,
3.0,
11.0,
10.0,
,1.0
,0.0
,
,
,
,
,
,
7.0,
,
3.0,
,
,
4.0,
,
,1.0
,
,0.0
,0.0
,
,
,0.0
,
,
,
,
,
,
1.0,
,
,
,1.0
,
,
,
,
,
,0.0
,
,
,
,0.0
,0.0
4.0,
,
,
4.0,
,
5.0,
2.0,0.0
,
,
,
,
,
,
,
,
4.0,
4.0,
,
,
2.0,
,
,
,
,0.0
5.0,
,
,1.0
,
4.0,
,
,
,
,
,
,
,
,1.0
4.0,
,0.0
5.0,
,
,
,
,
1.0,
,
,
,
,
,
,
,
,
,
,
,0.0
,
,
,
,
,
,
4.0,0.0
,
,0.0
,1.0
,
,
1.0,
3.0,
,
4.0,
,
4.0,1.0
,
3.0,
,
23.0,
2.0,
3.0,
,
,
,1.0
,
,
,
,
2.0,
,
,
,
,
,
,
,
,
,
4.0,
,
1.0,1.0
,
,
,
,
4.0,
,
,
,
,
3.0,
,0.0
5.0,
,
1.0,
,0.0
3.0,1.0
,
,
,
,1.0
,
,1.0
3.0,
4.0,
,
,
,
,
,
,
6.0,
3.0,
,
1.0,
,
,
,
,
,1.0
,
,
,1.0
,0.0
,
,
,
,
,
,0.0
,
,
,1.0
4.0,
,
,1.0
,
,
,0.0
6.0,0.0
,
,
,
,
2.0,
,
,
,
,0.0
,
4.0,
,
,
,
,
4.0,
,
,
,
,
,
,0.0
1.0,
,1.0
,
3.0,
,
4.0,0.0
,
,
,
,
,
,
,
2.0,
,
,
,
,
,
,
2.0,
,
,
2.0,1.0
5.0,
,1.0
1.0,0.0
1.0,
,0.0
,
,
,1.0
,
,
,
,
,0.0
4.0,
,
,
,
,
,
2.0,0.0
,
,
3.0,
4.0,
,0.0
,
,
,
2.0,
,
,0.0
1.0,
,
,
,
,
4.0,1.0
,1.0
,
,0.0
1.0,
,
,
,
,
,
,
,
,
,
,
3.0,
,0.0
,
,
,
,
,
,
,
,
,
,
,
,
1.0,
,0.0
,
1.0,0.0
4.0,
,
,
3.0,
3.0,
4.0,
,
,
,
,
1.0,
,
3.0,
,
,0.0
,
6.0,
,
1.0,
2.0,
